公司是业内首家大规模推广无线视音频核心模组的厂家，为行业赋能。,We are the first among companies that promote wireless video/audio core modules, empowering the industry.
无人机图传终端,UAV video transmission terminal
无人机远程巡检、消防应急、活动保障、移动执法、城市运营管理、新闻采 编直播等场合的无线图传和指挥调度。 ,Wireless transmission, command and dispatch for scenarios including but not limited to: remote inspection by drones, firefighting or emergencies, event logistics, mobile law enforcement, city administration and news reporting/broadcasting.
市场监督,market inspection
保安,security
安全生产可视化综合监管系统解决方案,visual comprehensive regulatory system solutions for workplace safety
建筑施工,construction
石油,oil industry
化工,chemical industry
冶炼,smelting
智能化远程巡检（巡线）系统解决方案,smart remote inspection(line inspection) system solutions
天然气,oil industry
工业,industry
森林防火,firewatch
景区,scenic areas
自然资源,natural resources
